,org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus
136,4021,Eesti Jalgratturite Liit,80057497,Harjumaa,37,Tallinn,784,59.405310123684,24.710821698987
137,4037,Eesti Jõutõsteliit,80057617,Tartumaa,79,Tartu linn,793,58.392535534907,26.719665390983
138,4011,Eesti Judoliit,80056457,Tartumaa,79,Tartu linn,793,58.37136637004,26.752035803288
139,5492,Eesti Jääpalliliit,80153338,Harjumaa,37,Saku,719,59.229903222877,24.713304617865
140,2232,Eesti Jääpurjetamise Liit,80075822,Harjumaa,37,Tallinn,784,59.466753519807,24.826523274623
141,3166,Eesti Jääpurjetamise Monotüüp XV Liit,80153380,Harjumaa,37,Tallinn,784,59.433266707802,24.767610566443
142,4038,Eesti Kabeliit,80070233,Harjumaa,37,Tallinn,784,59.439543821705,24.748274632301
143,7745,Eesti Kalisteenika ja Tänavaspordi Liit,80619207,Pärnumaa,68,Pärnu,624,58.387482932685,24.497940345454
144,4010,Eesti Karate Föderatsioon,80066792,Harjumaa,37,Tallinn,784,59.405310123684,24.710821698987
145,7028,Eesti Karateveteranide Ühendus,80576044,Harjumaa,37,Tallinn,784,59.405310123684,24.710821698987
146,3602,Eesti Kardiliit,80106439,Harjumaa,37,Tallinn,784,59.427720167898,24.700023674759
147,3902,Eesti Katamaraanide Liit,80317662,Harjumaa,37,Tallinn,784,59.388429592839,24.69667282935
148,7727,Eesti Kelguspordi Liit,80617602,Valgamaa,81,Tõrva,824,58.001013477634,25.911583550147
149,7628,Eesti Kendoliit,80607839,Tartumaa,79,Tartu linn,793,58.384227385795,26.714944725956
150,4005,Eesti Kergejõustikuliit,80079122,Harjumaa,37,Tallinn,784,59.426523137454,24.759714967392
151,370,Eesti Kergejõustikuveteranide Assotsiatsioon,80046306,Harjumaa,37,Tallinn,784,59.390581179039,24.653624893411
152,5911,Eesti Kettaspordi Liit,80298835,Harjumaa,37,Tallinn,784,59.431170787046,24.728476421703
153,4039,Eesti Kick-Boxingu Föderatsioon,80043348,Harjumaa,37,Tallinn,784,59.438482088933,24.754309295534
154,1059,Eesti Kiikinguliit,80110926,Pärnumaa,68,Pärnu,624,58.386234136576,24.517445218972
155,2334,Eesti Kirimaleühing,80053068,Harjumaa,37,Tallinn,784,59.405157758374,24.685539134641
156,4074,Eesti Koolispordi Liit,80086369,Harjumaa,37,Tallinn,784,59.414485280288,24.731764915632
157,3590,Eesti Koroonamänguliit,80094660,Harjumaa,37,Raasiku,651,59.337599732249,25.155511458988
158,3069,Eesti Korvpallikohtunike Kogu,80172181,Harjumaa,37,Tallinn,784,59.449750877048,24.900099512786
159,4004,Eesti Korvpalliliit,80007140,Harjumaa,37,Tallinn,784,59.426037018522,24.647368594572
160,3662,Eesti Korvpallisõprade Selts,80173163,Harjumaa,37,Tallinn,784,59.425961959116,24.795315401851
161,4662,Eesti Koshiki Karate Föderatsioon,80345345,Harjumaa,37,Tallinn,784,59.438027587238,24.772275244962
162,7871,Eesti Krav Maga Liit MTÜ,80621294,Harjumaa,37,Tallinn,784,59.381499187668,24.688058562832
163,4719,Eesti Kujundujumise Föderatsioon,80349260,Harjumaa,37,Viimsi,890,59.503363448891,24.835990794389
164,4017,Eesti Kulturismi ja Fitnessi Liit,80031345,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
165,2960,Eesti Kurtide Spordiliit,80092803,Harjumaa,37,Tallinn,784,59.422839805308,24.724974916711
166,3612,Eesti Kutsekoolispordi liit,80110180,Tartumaa,79,Tartu linn,793,58.355599318176,26.718749524547
167,7046,Eesti Kyudo Liit,80578032,Harjumaa,37,Viimsi,890,59.531167138727,24.872640446684
168,6459,Eesti Kärestikuaerutajate Klubi,80550720,Põlvamaa,64,Räpina,708,58.017176407668,27.298141578104
169,4018,Eesti Käsipalliliit,80066355,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
170,4968,Eesti Lacrossiliit,80357377,Harjumaa,37,Saku,719,59.304854399652,24.644729749343
171,2625,Eesti Laevamodellistide Liit,80074871,Harjumaa,37,Tallinn,784,59.418103981693,24.696485849644
172,2087,Eesti Langevarjuklubi,80049612,Harjumaa,37,Tallinn,784,59.411890870141,24.743504248787
173,4022,Eesti Laskesuusatamise Föderatsioon,80086033,Valgamaa,81,Otepää,557,58.05134916247,26.501830364919
174,4030,Eesti Laskurliit,80059094,Harjumaa,37,Saku,719,59.336660118787,24.692337615321
175,4889,Eesti Laste Tennisekool,80360439,Harjumaa,37,Tallinn,784,59.431251628643,24.794195038882
176,4019,Eesti Lauatenniseliit,80079180,Harjumaa,37,Tallinn,784,59.420824764498,24.685386196462
177,2338,Eesti Leegionäride Jalgpalliklubi,80160195,Harjumaa,37,Tallinn,784,59.420663156213,24.732085471492
178,4046,Eesti Lennuspordi Föderatsioon,80060967,Harjumaa,37,Tallinn,784,59.430614470516,24.712056019811
179,4008,Eesti Maadlusliit,80040381,Harjumaa,37,Tallinn,784,59.404009328716,24.712224812444
180,2635,Eesti Maadlusveteranide Ühendus,80092401,Harjumaa,37,Tallinn,784,59.424269835442,24.763937474659
181,5493,Eesti Maahokiliit,80216790,Harjumaa,37,Saku,719,59.230012618102,24.714513288541
182,3275,Eesti Maaülikool,74001086,Tartumaa,79,Tartu linn,793,58.368514658944,26.731348710515
183,361,Eesti Maaülikooli Spordiklubi,80037537,Tartumaa,79,Tartu linn,793,58.389112123888,26.695429822829
184,3683,Eesti Male Toetusühing,80308503,Harjumaa,37,Saku,719,59.294138224565,24.65062196636
185,4013,Eesti Maleliit,80023498,Harjumaa,37,Tallinn,784,59.439543821705,24.748274632301
186,3524,Eesti Match Race Liit,80269472,Harjumaa,37,Tallinn,784,59.475161553825,24.892858569934
187,3229,Eesti Matkaliit,80031865,Harjumaa,37,Tallinn,784,59.412262836781,24.735588312582
188,4093,Eesti Melges 24 klassiliit,80334979,Harjumaa,37,Tallinn,784,59.46537601033,24.830110864305
189,7148,Eesti Minijalgpalli Liit,80593416,Harjumaa,37,Tallinn,784,59.437741011246,24.852777752935
190,4035,Eesti Moodsa Viievõistluse Liit,80071758,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
191,2508,Eesti Motomatkajate Klubi,80019143,Harjumaa,37,Tallinn,784,59.380037317933,24.69186901683
192,7018,Eesti Motospordi Akadeemia,80575111,Tartumaa,79,Tartu linn,793,58.404519141716,26.695164602804
193,421,Eesti Mõttespordi Selts,80093429,Tartumaa,79,Tartu linn,793,58.371401784272,26.726274464829
194,7583,Eesti Mölkky Klubide Liit,80277224,Harjumaa,37,Tallinn,784,59.428046775795,24.782640333849
195,4000,Eesti Olümpiakomitee,80059467,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
196,5398,Eesti Õngitsejate Liit,80136958,Harjumaa,37,Tallinn,784,59.420663156213,24.732085471492
197,4002,Eesti Orienteerumisliit,80040568,Tartumaa,79,Tartu linn,793,58.374832232266,26.716426153779
198,6211,Eesti Padeli Liit,80417903,Harjumaa,37,Tallinn,784,59.426952763104,24.644691470434
199,4082,Eesti Paralümpiakomitee,80097278,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
200,4973,Eesti Personaaltreenerite Liit,80357673,Harjumaa,37,Tallinn,784,59.426658375052,24.734896220528
201,5960,Eesti Pesapalliliit,80395403,Harjumaa,37,Kiili,305,59.303603804841,24.827938373049
202,3255,Eesti Petanque&apos;i Klubide Liit,80089215,Harjumaa,37,Tallinn,784,59.434451307111,24.777035366601
203,4020,Eesti Poksiliit,80089586,Harjumaa,37,Tallinn,784,59.429181900252,24.726590000223
204,4075,Eesti Politsei Spordiliit,80230783,Harjumaa,37,Tallinn,784,59.408388983985,24.736482075421
205,1664,Eesti Practical-laskmise Ühing,80201273,Harjumaa,37,Tallinn,784,59.415841246105,24.738479935999
206,2305,Eesti Purjelaualiit,80043153,Harjumaa,37,Tallinn,784,6.5709715223463,20.776128786941
207,7005,Eesti Purjetajate MTÜ,80574181,Harjumaa,37,Rae,653,59.390837522526,24.853421050041
208,6521,Eesti Purjetamise Liiga,80550269,Harjumaa,37,Tallinn,784,59.43788087824,24.782634386202
209,4724,Eesti Puuetega Inimeste Ujumisliit,80349627,Harjumaa,37,Tallinn,784,59.436107156547,24.773486234935
210,2412,Eesti Raadioamatööride Ühing,80064729,Harjumaa,37,Tallinn,784,59.433909805985,24.754675509804
211,4119,Eesti Rahvuslik Field Target Assotsiatsioon,80321770,Harjumaa,37,Tallinn,784,59.410825761487,24.721362715307
212,7660,Eesti Rahvuslike Maadlusviiside Liit,80610936,Lääne-Virumaa,60,Vinni,901,59.289998315755,26.425662587625
213,2072,Eesti Rannavolle Klubi,80028840,Harjumaa,37,Viimsi,890,59.520773346863,24.809326651536
214,7813,Eesti Ratsa-Rakendorienteerumine MTÜ,80618524,Saaremaa,74,Muhu,478,58.600763232939,23.261865232356
215,4016,Eesti Ratsaspordi Liit,80110599,Harjumaa,37,Tallinn,784,59.405310123684,24.710821698987
216,3605,Eesti Rendžuliit,80174820,Harjumaa,37,Tallinn,784,59.36910785109,24.65206148991
217,2965,Eesti Reservohvitseride Kogu,80018646,Harjumaa,37,Tallinn,784,59.656792621328,24.620459687524
218,7478,Eesti Reservväelaste Laskespordiliit,80548440,Harjumaa,37,Saue,725,59.39891136591,24.492866945629
219,5913,Eesti Reservväelaste Pärnu Laskespordiklubi,80404272,Pärnumaa,68,Pärnu,624,58.394311711343,24.511380724333
220,4436,Eesti Reservväelaste Tartu Laskespordiklubi,80335588,Tartumaa,79,Nõo,528,58.321082080049,26.571562204288
221,5262,Eesti Roller Derby Liit,80367720,Tartumaa,79,Tartu linn,793,58.382657333205,26.71769212379
222,5152,Eesti Ronimisliit,80370870,Harjumaa,37,Tallinn,784,59.395570686877,24.712145573874
223,3921,Eesti RS Feva ja 9er Klasside liit,80325874,Harjumaa,37,Tallinn,784,59.4646,24.8233
224,7324,Eesti Rulatajate Liit MTÜ,80594143,Tartumaa,79,Tartu linn,793,58.346384060345,26.714478620092
225,4053,Eesti Rulluisuliit,80057422,Harjumaa,37,Harku,198,59.428214614713,24.528398679725
226,3256,Eesti Saalihoki Liit,80089971,Harjumaa,37,Tallinn,784,59.445435759858,24.799704937524
227,4050,Eesti Samboliit,80067900,Harjumaa,37,Tallinn,784,59.465671654494,24.826290888093
228,3735,Eesti Sangpommispordi Liit,80299929,Harjumaa,37,Tallinn,784,59.411302616285,24.739888975143
229,3226,Eesti Seeniorispordi ja Spordiveteranide Liit,80018066,Harjumaa,37,Tallinn,784,59.424269835442,24.763937474659
230,4026,Eesti Sõudeliit,80071221,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
231,6018,Eesti Spinninguspordi Liit MTÜ,80401351,Tartumaa,79,Kastre,291,58.30961170112,26.8430439303
232,3783,Eesti Spordi Tulevik,80306486,Harjumaa,37,Tallinn,784,59.486354836258,24.859085411601
233,4869,Eesti Spordiajakirjanike selts,80351819,Harjumaa,37,Tallinn,784,59.435370803641,24.768469882342
234,4228,Eesti Spordiajaloo Selts,80087086,Tartumaa,79,Tartu linn,793,58.382401387169,26.72137126728
235,4077,Eesti Spordimeditsiini Föderatsioon,80088049,Tartumaa,79,Tartu linn,793,58.367613906718,26.70452101687
236,1785,Eesti Spordiselts Põhjakotkas,80080734,Harjumaa,37,Tallinn,784,59.429597524087,24.771937788135
237,2229,"Eesti Spordiseltsi ""Kalev"" Veteranide Ühendus",80044611,Harjumaa,37,Tallinn,784,59.424269835442,24.763937474659
238,3485,Eesti Sporthobuste Kasvatajate Selts,80130107,Harjumaa,37,Lääne-Harju,431,59.313462076445,24.300728916724
239,3610,Eesti Sportliku Vabavõitluse Liit,80261329,Harjumaa,37,Tallinn,784,59.405436466835,24.723886203005
240,4034,Eesti Squashiföderatsioon,80188609,Pärnumaa,68,Pärnu,624,58.384864220443,24.503185573156
241,4024,Eesti Sulgpalliliit,80079091,Harjumaa,37,Tallinn,784,59.403927256347,24.720734093017
242,4051,Eesti Sumoliit,80003314,Lääne-Virumaa,60,Vinni,901,59.289998315755,26.425662587625
243,6772,Eesti Suusa- Ja Lumelauainstruktorite Liit,80564024,Tartumaa,79,Tartu linn,793,58.379319965308,26.722420791954
244,4012,Eesti Suusaliit,80071971,Harjumaa,37,Tallinn,784,59.403927256347,24.720734093017
245,4031,Eesti Taekwondo Föderatsioon,80001002,Harjumaa,37,Tallinn,784,59.444655845072,24.704150701866
246,2630,Eesti Taekwondo Liit,80088167,Harjumaa,37,Tallinn,784,59.444655845072,24.704150701866
247,7592,Eesti Takistuskrossi Liit,80613705,Harjumaa,37,Keila,296,59.309898547908,24.389648146003
248,4108,Eesti Tantsuspordi Liidu Elukutseliste Alaliit,80322870,Harjumaa,37,Tallinn,784,59.411428443635,24.734655166601
